iter	Passed	Remaining
168	1001	22706
169	1008	22721
170	1015	22729
171	1022	22763
172	1029	22769
173	1035	22768
174	1041	22762
175	1047	22768
176	1053	22764
177	1060	22772
178	1067	22781
179	1074	22792
180	1080	22803
181	1087	22805
182	1092	22788
183	1097	22763
184	1103	22756
185	1109	22759
186	1116	22756
187	1122	22756
188	1128	22756
189	1134	22747
190	1139	22723
191	1144	22699
192	1149	22678
193	1155	22667
194	1160	22645
195	1165	22628
196	1171	22607
197	1176	22598
198	1183	22609
199	1191	22639
200	1196	22621
201	1203	22627
202	1210	22634
203	1216	22641
204	1223	22640
205	1229	22647
206	1236	22654
207	1243	22662
208	1248	22642
209	1253	22620
210	1258	22595
211	1263	22574
212	1268	22552
213	1273	22529
214	1278	22510
215	1283	22489
216	1288	22465
217	1293	22447
218	1298	22426
219	1303	22403
220	1308	22383
221	1314	22365
222	1319	22342
223	1324	22323
224	1329	22303
225	1334	22282
226	1339	22262
227	1344	22241
228	1349	22221
229	1356	22227
230	1362	22228
231	1367	22209
232	1372	22195
233	1377	22176
234	1383	22158
235	1389	22154
236	1394	22133
237	1398	22113
238	1403	22093
239	1408	22073
240	1413	22053
241	1418	22034
242	1424	22017
243	1429	21997
244	1434	21978
245	1439	21959
246	1444	21940
247	1449	21923
248	1454	21906
249	1459	21887
250	1464	21868
251	1469	21850
252	1474	21830
253	1479	21814
254	1484	21797
255	1489	21778
256	1494	21762
257	1500	21757
258	1505	21741
259	1512	21758
260	1517	21742
261	1525	21758
262	1537	21841
263	1543	21848
264	1548	21830
265	1553	21811
266	1558	21796
267	1563	21778
268	1569	21762
269	1574	21745
270	1578	21727
271	1583	21708
272	1588	21691
273	1594	21676
274	1598	21658
275	1604	21642
276	1609	21626
277	1614	21610
278	1619	21593
279	1624	21580
280	1629	21564
281	1634	21548
282	1640	21540
283	1645	21528
284	1650	21512
285	1655	21495
286	1660	21478
287	1665	21461
288	1670	21450
289	1675	21435
290	1680	21420
291	1685	21403
292	1690	21386
293	1695	21371
294	1700	21354
295	1707	21362
296	1713	21369
297	1719	21356
298	1724	21341
299	1729	21329
300	1734	21314
301	1739	21298
302	1744	21284
303	1749	21269
304	1754	21255
305	1759	21240
306	1764	21225
307	1769	21212
308	1774	21197
309	1779	21182
310	1784	21166
311	1789	21152
312	1794	21137
313	1799	21123
314	1804	21108
315	1809	21094
316	1814	21081
317	1819	21067
318	1824	21056
319	1829	21042
320	1834	21028
321	1839	21014
322	1844	21001
323	1849	20989
324	1854	20975
325	1860	20963
326	1865	20953
327	1870	20940
328	1875	20926
329	1882	20930
330	1888	20934
331	1894	20929
332	1900	20929
333	1905	20916
334	1911	20908
335	1916	20895
336	1921	20882
337	1926	20872
338	1931	20859
339	1936	20846
340	1941	20833
341	1946	20820
342	1951	20806
343	1956	20794
344	1961	20782
345	1966	20769
346	1971	20756
347	1976	20744
348	1981	20732
349	1986	20720
350	1992	20717
351	1998	20707
352	2003	20700
353	2009	20692
354	2014	20682
355	2020	20682
356	2026	20681
357	2033	20684
358	2039	20687
359	2046	20691
360	2051	20684
361	2059	20697
362	2066	20700
363	2072	20700
364	2078	20702
365	2085	20708
366	2093	20723
367	2100	20726
368	2106	20730
369	2112	20728
370	2119	20728
371	2125	20726
372	2131	20724
373	2137	20722
374	2143	20724
375	2149	20715
376	2155	20718
377	2162	20718
378	2168	20713
379	2173	20706
380	2179	20706
381	2186	20706
382	2192	20701
383	2198	20699
384	2203	20694
385	2209	20687
386	2214	20675
387	2219	20663
388	2224	20652
389	2231	20655
390	2238	20663
391	2245	20669
392	2252	20675
393	2258	20669
394	2263	20659
395	2268	20646
396	2273	20637
397	2278	20625
398	2283	20612
399	2288	20598
400	2293	20586
401	2298	20573
402	2303	20562
403	2308	20549
404	2313	20537
405	2318	20525
406	2323	20512
407	2328	20500
408	2333	20488
409	2338	20476
410	2343	20465
411	2348	20453
412	2353	20442
413	2358	20431
414	2363	20418
415	2368	20406
416	2373	20398
417	2378	20385
418	2384	20375
